S,K,T,r,sigma
318.45856865738,797.2769692420286,0.31789437521518005,0.023482449148496388,0.6869948020323278
485.74276098484984,378.30022717112865,1.1030956070847284,0.0233657057068429,0.6395597768087755
144.25472302365716,122.59365959563132,2.0327339744178547,0.09355910409063223,0.8226782468515519
474.4951740760181,137.89274454403161,0.9854161856244377,0.05440451415598261,0.5193013037660976
242.92728216273125,504.48253757457087,1.7650595593860656,0.07880089208350688,0.5876900360818149
313.7155388912388,128.65877732497216,1.2428714672963868,0.07855090464368764,0.6886669453358072
504.20693669743844,489.9355175109071,1.0839217760569348,0.04414375444205655,0.8846424415838521
891.9856441822989,631.8744026517148,1.2830417321311347,0.012602195416446249,0.7009129664447218
599.4869366330696,88.21308986159312,2.622080787548875,0.0023184943004250893,0.6397086911881554
66.78471942106236,364.4038924072946,0.8156756732970588,0.026430372737126107,0.6668458606074625
186.33604484254124,185.65893977001988,2.9814359609580117,0.029967491745388722,0.7519935578500433
110.17515567466342,264.08008186005844,2.724711220574294,0.028925451650046643,0.9230459129114716
226.95192575495386,300.31020383312216,0.5778194563583477,0.0345437819182859,0.6761028790055597
376.48081609918046,839.712421689863,1.602936882062653,0.002967139812199182,0.9920445467892902
216.30845603498145,515.538735581965,2.709681227451564,0.057650327202058795,0.9245857489991203
488.5942840760374,355.88393946231395,0.834894529581432,0.024186855863504234,0.9513434104709149
832.9744938602213,195.45094867442393,0.6360001488056621,0.07105718347354624,0.6479231679621575
834.2654301863806,562.1372793533106,1.4726413173926434,0.01843845353940503,0.773241101828144
372.65082883853563,492.2568576087637,0.8120015809858507,0.018663619190108827,0.5083323922001929
360.3365247143941,456.48263165335976,2.2861804074861225,0.09656019305720208,0.5035157376211976
758.4659335971585,340.75302147368564,1.629990857356441,0.06977111588480829,0.5911637763595283
444.3191723593672,781.4950283907207,1.0059021367429262,0.03875193650736419,0.9072598525631278
971.6102232696825,637.0159693584075,1.5259211101514567,0.0008539327557127385,0.5062256078945908
472.70620015958826,918.63983703191,1.7945749024638222,0.06546641447975986,0.7940365343579594
281.02178638942223,363.5031514896866,2.365105880213505,0.030186179254124493,0.8377936718211556
59.329245417212796,564.6627437501116,1.7610833313008345,0.021127876011661474,0.7776415289916385
956.4072286513612,172.6634058065632,1.8578215716067952,0.08162240282652071,0.8588243438704564
162.8066477741947,833.5203895239683,0.3389774046754164,0.018699410765049728,0.6679820773626395
216.41784719308762,463.3257472957573,0.6415118438641674,0.030779929808254138,0.623318099070884
86.42012906097199,905.1201041050335,0.9948195877363198,0.06774454480686341,0.8167659535016518
491.6905882097908,806.958375805328,1.7898057170391755,0.07146811625153973,0.7788036523047347
437.9667169225165,934.9668186591231,0.9682492418233638,0.01035203860305154,0.5702932796891056
824.9780741739454,642.7985550381926,0.5270307097633252,0.09834980212958674,0.7368713948067502
577.5904254899333,652.0215028695026,0.46979236928013435,0.07060653507453284,0.6206200757385136
603.1788250911518,145.8222310556999,1.725593825207872,0.014604485633461074,0.523860302044642
800.7319244407507,69.78106100152405,0.7826199444764722,0.0380430302395451,0.8005241836187076
603.7856870785693,265.03130215815855,0.8419510771002344,0.08363162792134173,0.9865429848911571
587.1101692128285,106.73653915435528,1.595558788589502,0.010454338401300556,0.5433248297454073
932.0993576264657,915.2835268060289,0.16961085800503656,0.0010575558473840951,0.5438745764049039
